Date,New visitors SEO,New visitors CPC,New visitors Social Media,Return visitors,Twitter mentions,Twitter follower adds,Twitter followers cumulative,Mailing list adds ,Mailing list cumulative,Website Pageviews,Website Visits,Website Unique Visits,Mobile uniques,Tablet uniques,Desktop uniques,Free sign up,Paid conversion,Events
9/19/2013,5735,3019,302,1006,0,3,347,0,1925,60373,30186,10062,1006,2012,7043,7043,352,2013 CPC campaign
9/20/2013,4315,2271,227,757,0,-1,346,0,1924,60563,30281,7570,757,1514,5299,3785,227,2013 CPC campaign
9/21/2013,5771,3038,304,1013,0,-1,345,1,1925,60752,30376,10125,1013,2025,7088,4050,203,2013 CPC campaign
9/22/2013,3860,2031,203,677,1,0,345,1,1926,60942,20314,6771,677,1354,4740,4063,203,2013 CPC campaign
9/23/2013,2904,1528,153,509,2,-1,344,0,1924,61132,20377,5094,509,1019,3566,3057,153,2013 CPC campaign
9/24/2013,4369,2300,230,767,0,-2,342,0,1923,61321,30661,7665,767,1533,5366,6132,307,2013 CPC campaign
9/25/2013,4383,2307,231,769,0,3,345,0,1922,61511,30756,7689,769,1538,5382,3076,154,2013 CPC campaign
9/26/2013,2931,1543,154,514,0,-2,343,2,1924,61701,20567,5142,514,1028,3599,3599,180,2013 CPC campaign
9/27/2013,5880,3095,309,1032,0,-1,342,0,1923,61890,30945,10315,1032,2063,7221,7221,361,2013 CPC campaign
9/28/2013,3932,2069,207,690,0,3,345,3,1926,62080,20693,6898,690,1380,4828,2759,166,2013 CPC campaign
9/29/2013,3944,2076,208,692,0,-1,344,3,1929,62270,20757,6919,692,1384,4843,3459,208,2013 CPC campaign
9/30/2013,5934,3123,312,1041,0,0,344,3,1932,62460,31230,10410,1041,2082,7287,4164,250,2013 CPC campaign
10/1/2013,5952,3132,313,1044,0,1,345,2,1934,62649,31325,10442,1044,2088,7309,8353,501,2013 CPC campaign
10/2/2013,2985,1571,157,524,0,0,345,1,1935,62839,20946,5237,524,1047,3666,3666,183,2013 CPC campaign
10/3/2013,3992,2101,210,700,0,0,345,1,1936,63029,21010,7003,700,1401,4902,5603,392,2013 CPC campaign
10/4/2013,4004,2107,211,702,1,3,348,3,1939,63218,21073,7024,702,1405,4917,5619,281,2013 CPC campaign
10/5/2013,4016,2114,211,705,0,-1,347,3,1942,63408,21136,7045,705,1409,4932,5636,395,2013 CPC campaign
10/6/2013,4531,2385,238,795,0,1,348,3,1945,63598,31799,7950,795,1590,5565,3975,238,2013 CPC campaign
10/7/2013,4040,2126,213,709,0,2,350,2,1947,63788,21263,7088,709,1418,4961,2835,142,2013 CPC campaign
10/8/2013,4052,2133,213,711,0,0,350,0,1945,63977,21326,7109,711,1422,4976,5687,341,2013 CPC campaign
10/9/2013,4572,2406,241,802,2,-1,349,0,1944,64167,32083,8021,802,1604,5615,4813,289,2013 CPC campaign
10/10/2013,3057,1609,161,536,0,-1,348,0,1944,64357,21452,5363,536,1073,3754,2682,161,2013 CPC campaign
10/11/2013,4599,2420,242,807,2,2,350,0,1942,64546,32273,8068,807,1614,5648,3227,226,2013 CPC campaign
10/12/2013,3075,1618,162,539,0,1,351,0,1940,64736,21579,5395,539,1079,3776,3237,227,2013 CPC campaign
10/13/2013,4112,2164,216,721,0,0,351,0,1938,64926,21642,7214,721,1443,5050,2886,202,2013 CPC campaign
10/14/2013,4124,2171,217,724,0,0,351,2,1940,65115,21705,7235,724,1447,5065,5065,253,2013 CPC campaign
10/15/2013,6204,3265,327,1088,0,-1,350,0,1938,65305,32653,10884,1088,2177,7619,6531,457,2013 CPC campaign
10/16/2013,4148,2183,218,728,0,0,350,3,1941,65495,21832,7277,728,1455,5094,2911,204,2013 CPC campaign
10/17/2013,3120,1642,164,547,0,0,350,1,1942,65685,21895,5474,547,1095,3832,3832,268,2013 CPC campaign
10/18/2013,4694,2470,247,823,0,-1,349,1,1943,65874,32937,8234,823,1647,5764,3294,165,2013 CPC campaign
10/19/2013,4184,2202,220,734,0,2,351,0,1941,66064,22021,7340,734,1468,5138,5138,308,2013 CPC campaign
10/20/2013,3147,1656,166,552,0,0,351,3,1944,66254,22085,5521,552,1104,3865,3865,271,2013 CPC campaign
10/21/2013,6312,3322,332,1107,1,3,354,3,1947,66443,33222,11074,1107,2215,7752,6644,465,2013 CPC campaign
10/22/2013,4748,2499,250,833,0,2,356,1,1948,66633,33317,8329,833,1666,5830,4997,300,2013 CPC campaign
10/23/2013,3174,1671,167,557,0,-1,355,2,1950,66823,22274,5569,557,1114,3898,3341,167,2013 CPC campaign
10/24/2013,6366,3351,335,1117,0,-2,353,1,1951,67012,33506,11169,1117,2234,7818,5584,335,2013 CPC campaign
10/25/2013,6384,3360,336,1120,0,2,355,1,1952,67202,33601,11200,1120,2240,7840,6720,403,2013 CPC campaign
10/26/2013,4268,2246,225,749,1,1,356,0,1951,67392,22464,7488,749,1498,5242,5242,314,2013 CPC campaign
10/27/2013,3210,1690,169,563,0,2,358,0,1949,67582,22527,5632,563,1126,3942,2253,135,2013 CPC campaign
10/28/2013,6438,3389,339,1130,2,0,358,0,1949,67771,33886,11295,1130,2259,7907,4518,226,2013 CPC campaign
10/29/2013,4842,2549,255,850,0,2,360,2,1951,67961,33980,8495,850,1699,5947,6796,408,2013 CPC campaign
10/30/2013,6474,3408,341,1136,0,1,361,0,1949,68151,34075,11358,1136,2272,7951,9087,636,2013 CPC campaign
10/31/2013,6492,3417,342,1139,1,-2,359,3,1952,68340,34170,11390,1139,2278,7973,5695,342,2013 CPC campaign
11/1/2013,4883,2570,257,857,0,1,360,1,1953,68530,34265,8566,857,1713,5996,4283,300,2013 CPC campaign
11/2/2013,6528,3436,344,1145,0,1,361,0,1953,68720,34360,11453,1145,2291,8017,5727,401,2013 CPC campaign
11/3/2013,6546,3445,345,1148,0,-2,359,0,1951,68910,34455,11485,1148,2297,8039,5742,402,2013 CPC campaign
11/4/2013,6564,3455,345,1152,0,3,362,3,1954,69099,34550,11517,1152,2303,8062,8062,564,2013 CPC campaign
11/5/2013,4388,2310,231,770,0,0,362,0,1952,69289,23096,7699,770,1540,5389,4619,231,2013 CPC campaign
11/6/2013,4400,2316,232,772,0,-2,360,3,1955,69479,23160,7720,772,1544,5404,3088,154,2013 CPC campaign
11/7/2013,6618,3483,348,1161,0,3,363,1,1956,69668,34834,11611,1161,2322,8128,6967,488,2013 CPC campaign
11/8/2013,4424,2329,233,776,0,-1,362,3,1959,69858,23286,7762,776,1552,5433,4657,279,2013 CPC campaign
11/9/2013,4436,2335,233,778,0,2,364,0,1957,70048,23349,7783,778,1557,5448,3113,218,2013 CPC campaign
11/10/2013,6673,3512,351,1171,0,0,364,1,1958,70237,35119,11706,1171,2341,8194,5853,410,2013 CPC campaign
11/11/2013,3345,1761,176,587,0,2,366,0,1957,70427,23476,5869,587,1174,4108,2934,147,2013 CPC campaign
11/12/2013,5031,2648,265,883,0,3,369,3,1960,70617,35308,8827,883,1765,6179,6179,309,2013 CPC campaign
11/13/2013,4484,2360,236,787,0,2,371,3,1963,70807,23602,7867,787,1573,5507,3934,197,2013 CPC campaign
11/14/2013,4496,2367,237,789,0,0,371,0,1962,70996,23665,7888,789,1578,5522,5522,387,2013 CPC campaign
11/15/2013,6763,3559,356,1186,0,-1,370,0,1960,71186,35593,11864,1186,2373,8305,4746,285,2013 CPC campaign
11/16/2013,3390,1784,178,595,1,2,372,1,1961,71376,23792,5948,595,1190,4164,2974,149,2013 CPC campaign
11/17/2013,3399,1789,179,596,0,0,372,2,1963,71565,23855,5964,596,1193,4175,4175,292,2013 CPC campaign
11/18/2013,6817,3588,359,1196,0,2,374,1,1964,71755,35878,11959,1196,2392,8371,4784,335,2013 CPC campaign
11/19/2013,6835,3597,360,1199,1,-2,372,0,1964,71945,35972,11991,1199,2398,8394,5995,360,2013 CPC campaign
11/20/2013,6853,3607,361,1202,3,2,374,1,1965,72134,36067,12022,1202,2404,8416,8416,505,2013 CPC campaign
11/21/2013,6871,3616,362,1205,3,0,374,0,1965,72324,36162,12054,1205,2411,8438,6027,422,2013 CPC campaign
11/22/2013,6889,3626,363,1209,0,-1,373,2,1967,72514,36257,12086,1209,2417,8460,4834,242,2013 CPC campaign
11/23/2013,5180,2726,273,909,0,3,376,0,1965,72704,36352,9088,909,1818,6362,6362,445,2013 CPC campaign
11/24/2013,3462,1822,182,607,0,1,377,0,1965,72893,24298,6074,607,1215,4252,2430,121,2013 CPC campaign
11/25/2013,4629,2436,244,812,2,1,378,2,1967,73083,24361,8120,812,1624,5684,4060,244,2013 CPC campaign
11/26/2013,6961,3664,366,1221,0,3,381,2,1969,73273,36636,12212,1221,2442,8548,6106,305,2013 CPC campaign
11/27/2013,6979,3673,367,1224,0,0,381,0,1969,73462,36731,12244,1224,2449,8571,9795,588,2013 CPC campaign
11/28/2013,3498,1841,184,614,1,-1,380,2,1971,73652,24551,6138,614,1228,4296,4910,246,2013 CPC campaign
11/29/2013,3507,1846,185,615,0,3,383,3,1974,73842,24614,6153,615,1231,4307,3692,258,2013 CPC campaign
11/30/2013,3516,1851,185,617,0,0,383,1,1975,74031,24677,6169,617,1234,4319,3702,222,2013 CPC campaign
12/1/2013,3526,1856,186,619,0,1,384,1,1976,74221,24740,6185,619,1237,4330,4948,297,2013 CPC campaign
12/2/2013,3535,1860,186,620,0,-2,382,2,1978,74411,24804,6201,620,1240,4341,2480,174,2013 CPC campaign
12/3/2013,5315,2798,280,933,0,-1,381,1,1979,74601,37300,9325,933,1865,6528,3730,224,2013 CPC campaign
12/4/2013,3553,1870,187,623,0,1,382,0,1979,74790,24930,6233,623,1247,4363,3116,187,2013 CPC campaign
12/5/2013,4749,2499,250,833,0,3,385,3,1982,74980,24993,8331,833,1666,5832,4999,300,2013 CPC campaign
12/6/2013,5356,2819,282,940,0,1,386,3,1985,75170,37585,9396,940,1879,6577,6577,460,2013 CPC campaign
12/7/2013,4773,2512,251,837,0,1,387,3,1988,75359,25120,8373,837,1675,5861,4187,293,2013 CPC campaign
12/8/2013,5383,2833,283,944,1,1,388,1,1989,75549,37775,9444,944,1889,6611,6611,463,2013 CPC campaign
12/9/2013,3598,1893,189,631,2,3,391,0,1987,75739,25246,6312,631,1262,4418,3787,227,2013 CPC campaign
12/10/2013,5410,2847,285,949,0,-2,389,0,1986,75929,37964,9491,949,1898,6644,5695,285,2013 CPC campaign
12/11/2013,5423,2854,285,951,3,-1,388,0,1984,76118,38059,9515,951,1903,6660,7612,381,2013 CPC campaign
12/12/2013,3625,1908,191,636,0,-1,387,0,1982,76308,25436,6359,636,1272,4451,3179,191,2013 CPC campaign
12/13/2013,5450,2869,287,956,0,-2,385,0,1980,76498,38249,9562,956,1912,6694,7650,382,2013 CPC campaign
12/14/2013,5464,2876,288,959,0,2,387,0,1978,76687,38344,9586,959,1917,6710,7669,460,2013 CPC campaign
12/15/2013,4869,2563,256,854,0,0,387,1,1979,76877,25626,8542,854,1708,5979,6834,342,2013 CPC campaign
12/16/2013,5491,2890,289,963,0,1,388,0,1979,77067,38533,9633,963,1927,6743,7707,539,2013 CPC campaign
12/17/2013,5505,2897,290,966,0,0,388,1,1980,77256,38628,9657,966,1931,6760,5794,406,2013 CPC campaign
12/18/2013,4905,2582,258,861,0,-2,386,0,1980,77446,25815,8605,861,1721,6024,6024,422,2013 CPC campaign
12/19/2013,7375,3882,388,1294,0,2,388,0,1980,77636,38818,12939,1294,2588,9058,6470,388,2013 CPC campaign
12/20/2013,5545,2918,292,973,0,-2,386,1,1981,77826,38913,9728,973,1946,6810,3891,272,2013 CPC campaign
12/21/2013,4941,2601,260,867,0,-1,385,0,1980,78015,26005,8668,867,1734,6068,4334,260,2013 CPC campaign
12/22/2013,4953,2607,261,869,0,2,387,0,1978,78205,26068,8689,869,1738,6083,5214,313,2013 CPC campaign
12/23/2013,5586,2940,294,980,2,-2,385,2,1980,78395,39197,9799,980,1960,6860,3920,235,2013 CPC campaign
12/24/2013,5599,2947,295,982,0,-2,383,0,1979,78584,39292,9823,982,1965,6876,4912,295,2013 CPC campaign
12/25/2013,3742,1969,197,656,0,3,386,3,1982,78774,26258,6565,656,1313,4595,3282,230,2013 CPC campaign
12/26/2013,5626,2961,296,987,0,1,387,0,1982,78964,39482,9870,987,1974,6909,6909,415,2013 CPC campaign
12/27/2013,3760,1979,198,660,1,2,389,0,1982,79153,26384,6596,660,1319,4617,5277,264,2013 CPC campaign
12/28/2013,3769,1984,198,661,0,-2,387,3,1985,79343,26448,6612,661,1322,4628,4628,324,2013 CPC campaign
12/29/2013,5037,2651,265,884,0,0,387,0,1984,79533,26511,8837,884,1767,6186,7070,353,2013 CPC campaign
12/30/2013,7574,3986,399,1329,0,0,387,3,1987,79723,39861,13287,1329,2657,9301,10630,638,2013 CPC campaign
12/31/2013,7592,3996,400,1332,0,2,389,0,1986,79912,39956,13319,1332,2664,9323,7991,559,2013 CPC campaign
1/1/2014,7009,1602,300,1101,2,-1,388,0,1986,80102,40051,10013,1101,1902,7009,8010,561,SEO optimization v1
1/2/2014,4702,1075,202,739,1,-1,387,0,1986,80604,20151,6717,739,1276,4702,6045,423,SEO optimization v1
1/3/2014,6308,1442,270,991,0,4,391,4,1990,81106,27035,9012,991,1712,6308,8111,406,SEO optimization v1
1/4/2014,9521,2176,408,1496,0,1,392,0,1990,81608,27203,13601,1496,2584,9521,12241,612,SEO optimization v1
1/5/2014,6386,1460,274,1004,0,3,395,1,1991,82111,27370,9123,1004,1733,6386,9123,456,SEO optimization v1
1/6/2014,3614,826,155,568,0,2,397,0,1990,82613,20653,5163,568,981,3614,4131,248,SEO optimization v1
1/7/2014,6464,1478,277,1016,0,-2,395,3,1993,83115,27705,9235,1016,1755,6464,7388,369,SEO optimization v1
1/8/2014,7316,1672,314,1150,0,-1,394,0,1992,83617,20904,10452,1150,1986,7316,9407,564,SEO optimization v1
1/9/2014,7360,1682,315,1157,1,0,394,2,1994,84119,42060,10515,1157,1998,7360,9463,473,SEO optimization v1
1/10/2014,3702,846,159,582,0,-2,392,1,1995,84621,21155,5289,582,1005,3702,4760,286,SEO optimization v1
1/11/2014,4966,1135,213,780,0,0,392,1,1996,85123,21281,7094,780,1348,4966,6384,319,SEO optimization v1
1/12/2014,9990,2283,428,1570,0,0,392,1,1997,85625,28542,14271,1570,2711,9990,14271,856,SEO optimization v1
1/13/2014,10048,2297,431,1579,0,2,394,2,1999,86128,28709,14355,1579,2727,10048,12919,775,SEO optimization v1
1/14/2014,7580,1733,325,1191,0,0,394,3,2002,86630,21657,10829,1191,2057,7580,10829,650,SEO optimization v1
1/15/2014,6777,1549,290,1065,0,2,396,3,2005,87132,29044,9681,1065,1839,6777,7745,387,SEO optimization v1
1/16/2014,7668,1753,329,1205,2,-1,395,3,2008,87634,21908,10954,1205,2081,7668,10954,548,SEO optimization v1
1/17/2014,10283,2350,441,1616,0,4,399,0,2008,88136,29379,14689,1616,2791,10283,14689,881,SEO optimization v1
1/18/2014,3878,886,166,609,0,3,402,4,2012,88638,22160,5540,609,1053,3878,4986,249,SEO optimization v1
1/19/2014,6933,1585,297,1089,2,-1,401,2,2014,89140,29713,9904,1089,1882,6933,7924,555,SEO optimization v1
1/20/2014,10458,2390,448,1643,0,-2,399,1,2015,89642,29881,14940,1643,2839,10458,13446,941,SEO optimization v1
1/21/2014,5258,1202,225,826,0,-1,398,4,2019,90145,22536,7512,826,1427,5258,6761,338,SEO optimization v1
1/22/2014,7932,1813,340,1246,2,2,400,0,2018,90647,22662,11331,1246,2153,7932,11331,793,SEO optimization v1
1/23/2014,3988,911,171,627,1,2,402,1,2019,91149,22787,5697,627,1082,3988,5697,399,SEO optimization v1
1/24/2014,7128,1629,306,1120,0,4,406,0,2018,91651,30550,10183,1120,1935,7128,10183,509,SEO optimization v1
1/25/2014,5376,1229,230,845,2,4,410,1,2019,92153,23038,7679,845,1459,5376,6911,346,SEO optimization v1
1/26/2014,8107,1853,347,1274,2,-1,409,3,2022,92655,46328,11582,1274,2201,8107,10424,730,SEO optimization v1
1/27/2014,4076,932,175,640,1,3,412,0,2022,93157,23289,5822,640,1106,4076,5822,408,SEO optimization v1
1/28/2014,16390,3746,702,2576,0,4,416,3,2025,93659,46830,23415,2576,4449,16390,23415,1639,SEO optimization v1
1/29/2014,10986,2511,471,1726,0,2,418,2,2027,94162,47081,15694,1726,2982,10986,15694,942,SEO optimization v1
1/30/2014,5522,1262,237,868,0,-2,416,1,2028,94664,31555,7889,868,1499,5522,7100,355,SEO optimization v1
1/31/2014,7402,1692,317,1163,1,4,420,3,2031,95166,31722,10574,1163,2009,7402,9517,476,SEO optimization v1
2/1/2014,5581,1276,239,877,0,0,420,0,2031,95668,23917,7972,877,1515,5581,6378,446,SEO optimization v1
2/2/2014,8415,1923,361,1322,0,4,424,2,2033,96170,24043,12021,1322,2284,8415,10819,757,SEO optimization v1
2/3/2014,5639,1289,242,886,0,4,428,1,2034,96672,32224,8056,886,1531,5639,8056,564,SEO optimization v1
2/4/2014,11337,2591,486,1782,0,4,432,0,2033,97174,32391,16196,1782,3077,11337,16196,810,SEO optimization v1
2/5/2014,5698,1302,244,895,0,-1,431,4,2037,97676,32559,8140,895,1547,5698,7326,513,SEO optimization v1
2/6/2014,8591,1964,368,1350,0,0,431,0,2037,98179,49089,12272,1350,2332,8591,9818,687,SEO optimization v1
2/7/2014,17269,3947,740,2714,0,-2,429,0,2036,98681,49340,24670,2714,4687,17269,22203,1332,SEO optimization v1
2/8/2014,11571,2645,496,1818,0,3,432,0,2035,99183,33061,16530,1818,3141,11571,13224,793,SEO optimization v1
2/9/2014,11630,2658,498,1828,2,2,434,0,2035,99685,49842,16614,1828,3157,11630,14953,748,SEO optimization v1
2/10/2014,8766,2004,376,1378,2,1,435,3,2038,100187,25047,12523,1378,2379,8766,10019,601,SEO optimization v1
2/11/2014,7831,1790,336,1231,0,-2,433,1,2039,100689,33563,11188,1231,2126,7831,11188,559,SEO optimization v1
2/12/2014,17708,4048,759,2783,0,0,433,2,2041,101191,50596,25298,2783,4807,17708,22768,1138,SEO optimization v1
2/13/2014,5932,1356,254,932,2,2,435,0,2040,101693,33898,8474,932,1610,5932,6780,339,SEO optimization v1
2/14/2014,17884,4088,766,2810,1,4,439,1,2041,102196,51098,25549,2810,4854,17884,20439,1226,SEO optimization v1
2/15/2014,5991,1369,257,941,0,4,443,0,2041,102698,25674,8558,941,1626,5991,6847,342,SEO optimization v1
2/16/2014,9030,2064,387,1419,2,1,444,2,2043,103200,25800,12900,1419,2451,9030,10320,516,SEO optimization v1
2/17/2014,12099,2765,519,1901,0,-2,442,0,2043,103702,51851,17284,1901,3284,12099,15555,778,SEO optimization v1
2/18/2014,9118,2084,391,1433,0,0,442,0,2043,104204,26051,13026,1433,2475,9118,11723,821,SEO optimization v1
2/19/2014,6108,1396,262,960,1,-2,440,3,2046,104706,26177,8726,960,1658,6108,8726,524,SEO optimization v1
2/20/2014,6137,1403,263,964,0,1,441,2,2048,105208,26302,8767,964,1666,6137,8767,438,SEO optimization v1
2/21/2014,4625,1057,198,727,0,-1,440,4,2052,105710,26428,6607,727,1255,4625,5286,370,SEO optimization v1
2/22/2014,18587,4249,797,2921,2,3,443,4,2056,106213,53106,26553,2921,5045,18587,21243,1275,SEO optimization v1
2/23/2014,8300,1897,356,1304,0,4,447,4,2060,106715,35572,11857,1304,2253,8300,11857,830,SEO optimization v1
2/24/2014,8339,1906,357,1310,0,-1,446,3,2063,107217,35739,11913,1310,2263,8339,9530,477,SEO optimization v1
2/25/2014,6284,1436,269,987,0,3,449,3,2066,107719,26930,8977,987,1706,6284,8977,449,SEO optimization v1
2/26/2014,12626,2886,541,1984,2,0,449,4,2070,108221,54111,18037,1984,3427,12626,16233,812,SEO optimization v1
2/27/2014,8456,1933,362,1329,0,-1,448,1,2071,108723,36241,12080,1329,2295,8456,9664,580,SEO optimization v1
2/28/2014,12743,2913,546,2002,0,-2,446,3,2074,109225,36408,18204,2002,3459,12743,16384,983,SEO optimization v1
3/1/2014,9601,2195,411,1509,1,1,447,1,2075,109727,54864,13716,1509,2606,9601,10973,658,SEO optimization v1
3/2/2014,19290,4409,827,3031,2,1,448,4,2079,110230,55115,27557,3031,5236,19290,22046,1543,SEO optimization v1
3/3/2014,9689,2215,415,1523,0,3,451,1,2080,110732,27683,13841,1523,2630,9689,11073,554,SEO optimization v1
3/4/2014,12977,2966,556,2039,0,1,452,3,2083,111234,55617,18539,2039,3522,12977,14831,742,SEO optimization v1
3/5/2014,9777,2235,419,1536,0,3,455,4,2087,111736,27934,13967,1536,2654,9777,12570,754,SEO optimization v1
3/6/2014,13094,2993,561,2058,0,0,455,0,2087,112238,37413,18706,2058,3554,13094,14965,1048,SEO optimization v1
3/7/2014,9865,2255,423,1550,1,-2,453,0,2087,112740,56370,14093,1550,2678,9865,12683,634,SEO optimization v1
3/8/2014,9909,2265,425,1557,0,0,453,1,2088,113242,28311,14155,1557,2690,9909,14155,849,SEO optimization v1
3/9/2014,19905,4550,853,3128,0,-2,451,4,2092,113744,56872,28436,3128,5403,19905,22749,1592,SEO optimization v1
3/10/2014,6664,1523,286,1047,0,2,453,2,2094,114247,28562,9521,1047,1809,6664,7616,457,SEO optimization v1
3/11/2014,10041,2295,430,1578,0,3,456,2,2096,114749,57374,14344,1578,2725,10041,14344,717,SEO optimization v1
3/12/2014,6723,1537,288,1056,0,-2,454,0,2095,115251,28813,9604,1056,1825,6723,9604,576,SEO optimization v1
3/13/2014,13505,3087,579,2122,1,2,456,3,2098,115753,38584,19292,2122,3666,13505,19292,965,SEO optimization v1
3/14/2014,13563,3100,581,2131,2,2,458,0,2098,116255,58128,19376,2131,3681,13563,15501,775,SEO optimization v1
3/15/2014,5108,1168,219,803,0,-2,456,0,2097,116757,29189,7297,803,1386,5108,5838,350,SEO optimization v1
3/16/2014,6840,1563,293,1075,2,-2,454,3,2100,117259,39086,9772,1075,1857,6840,7817,469,SEO optimization v1
3/17/2014,10304,2355,442,1619,0,1,455,4,2104,117761,29440,14720,1619,2797,10304,11776,707,SEO optimization v1
3/18/2014,6899,1577,296,1084,0,3,458,4,2108,118264,39421,9855,1084,1873,6899,7884,473,SEO optimization v1
3/19/2014,10392,2375,445,1633,1,3,461,0,2107,118766,59383,14846,1633,2821,10392,11877,831,SEO optimization v1
3/20/2014,13915,3180,596,2187,0,3,464,3,2110,119268,59634,19878,2187,3777,13915,15902,1113,SEO optimization v1
3/21/2014,10480,2395,449,1647,0,1,465,0,2110,119770,59885,14971,1647,2845,10480,11977,838,SEO optimization v1
3/22/2014,7016,1604,301,1102,0,1,466,0,2110,120272,30068,10023,1102,1904,7016,8018,401,SEO optimization v1
3/23/2014,7045,1610,302,1107,0,1,467,1,2111,120774,30194,10065,1107,1912,7045,10065,705,SEO optimization v1
3/24/2014,14149,3234,606,2223,0,4,471,0,2111,121276,40425,20213,2223,3840,14149,18191,1091,SEO optimization v1
3/25/2014,10656,2436,457,1674,0,0,471,1,2112,121778,60889,15222,1674,2892,10656,13700,685,SEO optimization v1
3/26/2014,21399,4891,917,3363,0,1,472,0,2112,122281,61140,30570,3363,5808,21399,30570,1834,SEO optimization v1
3/27/2014,7162,1637,307,1126,1,-1,471,3,2115,122783,30696,10232,1126,1944,7162,9209,460,SEO optimization v1
3/28/2014,14383,3288,616,2260,0,-2,469,0,2114,123285,61642,20547,2260,3904,14383,16438,986,SEO optimization v1
3/29/2014,10831,2476,464,1702,0,3,472,0,2113,123787,30947,15473,1702,2940,10831,15473,774,SEO optimization v1
3/30/2014,7250,1657,311,1139,0,4,476,4,2117,124289,41430,10357,1139,1968,7250,8286,497,SEO optimization v1
3/31/2014,14559,3328,624,2288,0,-1,475,1,2118,124791,41597,20799,2288,3952,14559,20799,1040,SEO optimization v1
4/1/2014,5482,1253,235,861,0,-2,473,1,2119,125293,31323,7831,861,1488,5482,7831,392,SEO optimization v1
4/2/2014,9784,2236,419,1537,2,-2,471,1,2120,125795,41932,13977,1537,2656,9784,11182,671,SEO optimization v1
4/3/2014,14735,3368,631,2315,1,-2,469,2,2122,126298,63149,21050,2315,3999,14735,18945,1137,SEO optimization v1
4/4/2014,9862,2254,423,1550,0,-1,468,4,2126,126800,42267,14089,1550,2677,9862,11271,564,SEO optimization v1
4/5/2014,11139,2546,477,1750,1,1,469,0,2125,127302,63651,15913,1750,3023,11139,14321,859,SEO optimization v1
4/6/2014,5591,1278,240,879,0,3,472,3,2128,127804,31951,7988,879,1518,5591,7988,399,SEO optimization v1
4/7/2014,11227,2566,481,1764,2,2,474,0,2128,128306,64153,16038,1764,3047,11227,16038,962,SEO optimization v1
4/8/2014,15028,3435,644,2361,2,4,478,0,2128,128808,42936,21468,2361,4079,15028,19321,966,SEO optimization v1
4/9/2014,10057,2299,431,1580,0,-1,477,4,2132,129310,43103,14368,1580,2730,10057,11494,575,SEO optimization v1
4/10/2014,11359,2596,487,1785,0,-2,475,0,2131,129812,64906,16227,1785,3083,11359,12981,779,SEO optimization v1
4/11/2014,11403,2606,489,1792,0,4,479,3,2134,130315,65157,16289,1792,3095,11403,16289,1140,SEO optimization v1
4/12/2014,7631,1744,327,1199,0,3,482,4,2138,130817,32704,10901,1199,2071,7631,10901,545,SEO optimization v1
4/13/2014,11490,2626,492,1806,0,0,482,0,2138,131319,65659,16415,1806,3119,11490,13132,919,SEO optimization v1
4/14/2014,11534,2636,494,1813,0,-1,481,4,2142,131821,32955,16478,1813,3131,11534,13182,923,SEO optimization v1
4/15/2014,23818,4631,992,3639,0,3,484,1,2143,132323,66162,33081,3308,6285,23487,36389,5094,SEO optimization v2
4/16/2014,11923,2318,497,1822,0,3,487,3,2146,132479,33120,16560,1656,3146,11758,19872,2186,SEO optimization v2
4/17/2014,5969,1161,249,912,3,1,488,0,2146,132636,33159,8290,829,1575,5886,11606,1161,SEO optimization v2
4/18/2014,23903,4648,996,3652,0,-1,487,2,2148,132792,66396,33198,3320,6308,23571,46477,5112,SEO optimization v2
4/19/2014,15954,3102,665,2437,0,-1,486,0,2148,132948,66474,22158,2216,4210,15732,26590,3191,SEO optimization v2
4/20/2014,15973,3106,666,2440,0,0,486,0,2148,133105,66552,22184,2218,4215,15751,31058,3416,SEO optimization v2
4/21/2014,7996,1555,333,1222,0,1,487,0,2148,133261,33315,11105,1111,2110,7885,14437,1877,SEO optimization v2
4/22/2014,10673,2075,445,1631,0,0,487,2,2150,133417,44472,14824,1482,2817,10525,22236,2224,SEO optimization v2
4/23/2014,16029,3117,668,2449,2,-1,486,3,2153,133574,44525,22262,2226,4230,15806,28941,3473,SEO optimization v2
4/24/2014,8024,1560,334,1226,0,-1,485,2,2155,133730,44577,11144,1114,2117,7912,12259,1716,SEO optimization v2
4/25/2014,24100,4686,1004,3682,0,0,485,3,2158,133886,66943,33472,3347,6360,23765,30124,3314,SEO optimization v2
4/26/2014,8043,1564,335,1229,0,0,485,2,2160,134042,44681,11170,1117,2122,7931,10053,1307,SEO optimization v2
4/27/2014,12078,2348,503,1845,0,1,486,0,2160,134199,67099,16775,1677,3187,11910,25162,3271,SEO optimization v2
4/28/2014,8061,1567,336,1232,1,1,487,2,2162,134355,33589,11196,1120,2127,7949,16794,2015,SEO optimization v2
4/29/2014,16141,3139,673,2466,0,0,487,3,2165,134511,67256,22419,2242,4260,15917,20177,2825,SEO optimization v2
4/30/2014,6060,1178,253,926,0,0,487,0,2165,134668,33667,8417,842,1599,5976,8417,1094,SEO optimization v2
5/1/2014,10786,2097,449,1648,0,-1,486,1,2166,134824,44941,14980,1498,2846,10636,20973,2726,SEO optimization v2
5/2/2014,16198,3150,675,2475,0,1,487,1,2167,134980,44993,22497,2250,4274,15973,24746,3464,SEO optimization v2
5/3/2014,12162,2365,507,1858,0,2,489,3,2170,135137,67568,16892,1689,3209,11993,16892,1858,SEO optimization v2
